36103158002,,,
,V1,V2,V3
1,1979,0,0
2,1980,4,2393.23
3,1981,0,0
4,1982,0,0
5,1983,0,0
6,1984,0,0
7,1985,0,0
8,1986,0,0
9,1987,0,0
10,1988,0,0
11,1989,1,0
12,1990,0,0
13,1991,2,104927.61
14,1992,7,144284.97
15,1993,0,0
16,1994,2,21355.18
17,1995,0,0
18,1996,0,0
19,1997,0,0
20,1998,0,0
21,1999,2,1571.76
22,2000,0,0
23,2001,0,0
24,2002,0,0
25,2003,0,0
26,2004,1,0
27,2005,0,0
28,2006,0,0
29,2007,0,0
30,2008,0,0
31,2009,2,0
32,2010,0,0
33,2011,4,181168.65
34,2012,8,385369.64
35,2013,0,0
36,2014,1,1167.39
37,2015,0,0
38,2016,0,0
39,2017,0,0
40,2018,2,20458.74
41,2019,0,0
42,2020,0,0
43,2021,1,5199.37
