"year","census_tract","v_houses"
2010,36001000100,"67652500"
2010,36001000100,"67652500"
2011,36001000100,"77815000"
2011,36001000100,"77815000"
2012,36001000100,"60355000"
2012,36001000100,"60355000"
2013,36001000100,"68381000"
2013,36001000100,"68381000"
2014,36001000100,"32274000"
2014,36001000100,"32274000"
2015,36001000100,"30055000"
2015,36001000100,"30055000"
2016,36001000100,"29396000"
2016,36001000100,"29396000"
2017,36001000100,"27764600"
2017,36001000100,"27764600"
2018,36001000100,"28884600"
2018,36001000100,"28884600"
2019,36001000100,"34047200"
2019,36001000100,"34047200"
2020,36001000100,"39345800"
2020,36001000100,"39345800"
