census_tract,Surge_threshold,Rain_threshold,alpha_d,alpha_a,alpha_p,alpha_r,mew_a,mew_p,U_rate,POT_S_max,POT_R_max
09001011000,1.92,0.15,5.19,25.00,10.00,0.12,0.00,0.00,0.04,1.96,0.15
09001011100,1.88,0.15,20.44,25.00,9.90,0.20,0.06,0.01,0.17,0.37,0.15
09001011200,1.65,0.07,6.03,21.66,10.00,0.00,0.01,0.25,1.52,0.10,0.03
09001011300,3.23,0.15,11.38,19.55,9.97,0.07,0.05,0.06,0.02,1.46,0.15
09001021900,1.85,0.15,17.18,13.89,9.99,0.10,0.10,0.14,0.05,2.65,0.15
09001022100,1.71,0.11,20.31,25.00,10.00,0.04,0.15,0.28,0.31,3.34,0.05
09001022300,1.97,0.15,7.03,1.39,7.78,0.09,0.02,0.02,0.08,2.85,0.15
09001022400,1.90,0.15,5.86,5.06,0.00,0.04,0.00,0.63,0.01,0.74,0.15
09001030300,1.99,0.15,4.88,11.60,0.00,0.03,0.00,0.55,0.11,0.99,0.15
09001044300,1.98,0.15,5.95,8.72,4.40,0.11,0.01,0.07,0.22,2.34,0.15
09001044400,1.89,0.15,8.23,8.33,0.00,0.46,0.07,0.06,0.03,1.61,0.15
09001044600,1.97,0.15,6.25,13.11,0.03,0.05,0.00,0.07,0.01,0.95,0.15
09001050400,1.84,0.15,4.75,17.70,2.75,0.09,0.00,0.13,0.01,1.24,0.15
09001050500,1.89,0.15,7.05,21.04,10.00,0.08,0.02,0.00,0.01,1.75,0.15
09001050600,1.87,0.15,7.82,25.00,10.00,0.03,0.03,0.06,0.07,2.58,0.15
09001060600,1.66,0.15,11.28,25.00,10.00,0.02,0.06,0.00,0.18,2.20,0.15
09001061500,2.07,0.11,12.53,25.00,10.00,0.62,0.13,0.09,0.74,1.36,0.14
09001061600,1.87,0.15,4.37,25.00,5.32,0.01,0.00,0.52,0.01,0.19,0.07
09001070100,1.63,0.15,11.52,25.00,10.00,0.03,0.08,0.00,0.03,1.23,0.11
09001070400,2.06,0.15,20.22,2.36,0.00,0.48,0.17,0.08,0.07,0.73,0.14
09001070600,1.95,0.15,18.61,0.73,10.00,0.63,0.12,0.44,0.28,0.07,0.05
09001074400,2.05,0.15,14.78,2.47,0.00,0.13,0.08,0.15,0.02,1.02,0.11
09001080500,1.82,0.15,7.60,20.57,10.00,0.09,0.05,0.01,0.01,0.85,0.15
09007610100,2.59,0.15,6.17,0.00,7.61,0.30,0.01,0.05,0.22,2.97,0.08
09007610200,1.97,0.15,14.37,20.56,9.93,0.51,0.11,0.00,0.29,2.57,0.14
09007670100,1.75,0.15,12.84,18.07,6.93,0.03,0.10,0.00,0.15,0.75,0.10
09007670200,1.86,0.14,19.89,25.00,10.00,0.30,0.12,0.00,0.30,0.26,0.15
09007680100,1.92,0.12,7.92,25.00,9.98,0.91,0.05,0.93,1.83,2.11,0.04
09009140400,1.75,0.14,10.52,7.09,2.54,0.00,0.05,0.01,0.12,0.20,0.15
09009142700,2.24,0.06,14.05,20.94,5.49,0.66,0.08,1.32,2.81,0.23,0.02
09009142800,1.86,0.12,9.76,19.46,9.98,0.55,0.06,0.00,1.11,0.00,0.01
09009150100,1.98,0.14,12.40,7.47,6.76,0.83,0.07,0.80,0.64,0.68,0.08
09009150200,1.18,0.07,7.48,21.06,8.73,0.21,0.47,1.81,1.73,2.24,0.12
09009150400,1.90,0.14,17.75,9.85,9.73,0.10,0.16,0.28,0.14,0.40,0.15
09009150500,1.84,0.15,10.61,25.00,9.90,0.01,0.07,0.24,0.09,0.24,0.12
09009150900,1.71,0.15,8.36,25.00,10.00,0.01,0.04,0.00,0.07,1.72,0.13
09009151000,1.87,0.14,17.25,24.99,2.97,0.34,0.26,0.76,0.31,0.37,0.14
09009151100,1.91,0.15,13.17,20.07,10.00,0.27,0.11,0.82,0.10,1.87,0.12
09009154500,1.92,0.15,21.40,5.36,6.81,0.57,0.12,0.04,0.31,0.00,0.03
09009154700,1.72,0.14,8.73,12.15,2.63,0.00,0.04,0.03,0.07,0.11,0.02
09009154800,1.91,0.15,20.81,6.96,5.46,0.24,0.07,0.00,0.19,0.01,0.09
09009155000,1.53,0.15,14.17,23.85,10.00,0.04,0.10,0.00,0.29,1.82,0.03
09009155100,1.81,0.15,6.90,2.46,9.87,0.24,0.02,0.00,0.57,3.42,0.12
09009180100,1.97,0.14,9.48,4.56,8.53,0.51,0.06,0.45,0.42,0.36,0.11
09009184300,1.49,0.11,10.50,25.00,10.00,0.00,0.06,0.00,0.17,0.11,0.12
09009184400,1.97,0.15,8.89,24.77,8.58,0.16,0.05,0.05,0.45,0.57,0.11
09009184600,1.91,0.15,13.07,25.00,0.00,0.88,0.07,0.03,0.48,0.02,0.15
09009190100,1.96,0.15,12.70,25.00,10.00,0.24,0.09,0.44,0.24,1.31,0.12
09009190200,1.92,0.08,14.58,25.00,5.66,0.05,0.09,0.00,0.50,0.00,0.15
09009194100,1.40,0.00,5.47,25.00,0.00,0.00,0.02,0.17,3.00,0.05,0.04
09011660101,3.10,0.14,7.42,20.86,6.83,0.30,0.03,1.02,1.70,0.13,0.12
09011660102,2.05,0.15,10.13,9.20,5.59,0.23,0.06,0.00,0.46,2.59,0.15
09011690900,3.25,0.15,9.64,6.80,6.87,0.53,0.04,0.69,0.08,3.46,0.08
09011693300,2.45,0.10,6.03,25.00,10.00,0.00,0.04,0.00,0.01,0.26,0.06
09011693500,2.02,0.14,7.84,25.00,7.94,0.20,0.03,0.59,1.69,0.17,0.10
09011702600,2.42,0.15,8.89,12.14,0.34,0.07,0.01,0.09,0.01,1.23,0.15
09011702900,2.63,0.10,18.57,20.03,9.77,0.06,0.22,0.00,0.41,0.71,0.15
09011705101,1.53,0.13,9.88,17.49,0.88,0.00,0.04,0.03,0.11,3.50,0.15
09011705200,3.33,0.15,5.49,25.00,9.95,0.11,0.00,0.11,0.04,1.08,0.15
09011705300,2.73,0.15,14.72,25.00,0.62,0.17,0.10,0.07,0.34,2.86,0.15
09011870703,1.86,0.15,10.64,25.00,0.07,0.02,0.05,0.04,0.32,3.49,0.03
09011870704,2.80,0.15,8.38,7.41,9.97,0.09,0.03,0.20,0.01,1.05,0.15
34003002100,1.76,0.13,25.00,0.04,7.40,0.14,0.16,1.82,0.01,1.43,0.01
34003013001,2.10,0.15,14.95,3.77,9.86,0.17,0.06,0.02,0.01,3.00,0.15
34003013002,2.75,0.15,9.39,11.69,7.64,0.89,0.05,0.06,1.04,0.43,0.09
34003016000,1.64,0.11,12.89,0.00,4.40,0.05,0.18,1.11,1.74,2.61,0.07
34003019102,3.42,0.08,15.94,16.86,2.12,0.24,0.20,0.71,2.56,0.33,0.05
34003019202,3.01,0.11,13.70,17.21,6.94,0.37,0.14,1.30,2.20,3.07,0.13
34003055100,2.21,0.10,19.61,7.34,8.20,0.67,0.06,1.02,1.88,1.28,0.00
34017005802,2.18,0.15,13.66,2.26,10.00,0.27,0.04,0.13,0.01,1.47,0.15
34017007400,2.33,0.15,17.34,0.27,6.56,0.20,0.09,0.00,0.05,2.37,0.15
34017007600,2.26,0.06,21.55,9.53,3.23,0.91,0.06,1.35,2.51,2.46,0.11
34017007700,2.39,0.15,18.58,1.08,8.09,0.12,0.10,0.00,0.03,0.96,0.15
34017010300,2.05,0.10,22.77,23.00,10.00,0.00,0.22,0.26,0.31,0.12,0.01
34017010400,1.62,0.08,18.01,25.00,0.73,0.07,0.12,0.00,0.43,3.42,0.02
34017010800,1.71,0.11,10.73,8.13,0.00,0.39,0.06,0.06,0.84,0.85,0.13
34017011400,2.56,0.08,13.93,2.47,2.20,0.14,0.08,0.00,0.55,0.62,0.15
34017011500,2.15,0.11,15.77,4.30,2.87,0.10,0.09,0.00,0.47,0.04,0.15
34017011600,1.92,0.09,12.85,3.44,2.23,0.18,0.07,0.00,0.63,0.05,0.15
34017014101,2.10,0.12,16.66,1.67,3.57,0.35,0.12,0.03,0.44,0.14,0.15
34017015001,3.49,0.08,13.66,25.00,2.17,0.01,0.08,0.01,0.57,1.05,0.12
34017015201,2.18,0.15,11.57,25.00,9.19,0.00,0.05,0.11,0.01,1.36,0.15
34017015801,2.16,0.12,14.73,1.09,4.78,0.18,0.10,0.01,0.50,0.00,0.15
34017017900,2.53,0.15,20.63,6.59,2.89,0.37,0.14,0.03,0.23,1.43,0.15
34017018301,1.13,0.07,19.51,0.11,0.00,0.16,0.11,0.05,0.10,0.68,0.03
34017018302,2.76,0.15,12.64,0.00,0.01,0.13,0.06,0.06,0.18,3.21,0.15
34017018701,2.46,0.15,12.57,2.34,7.73,0.51,0.07,0.00,0.61,0.40,0.15
34017019300,1.93,0.12,7.73,5.09,10.00,0.97,0.04,0.24,1.86,2.62,0.15
34023003401,2.27,0.15,12.32,0.15,3.08,0.08,0.05,0.11,0.01,0.91,0.15
34023003600,1.91,0.10,9.36,0.11,8.05,0.17,0.04,0.00,0.80,0.08,0.15
34023004500,1.16,0.14,25.00,0.13,0.00,0.01,0.20,0.04,0.01,0.50,0.00
34023004600,2.17,0.15,25.00,0.90,0.28,0.02,0.15,0.14,0.01,1.25,0.15
34023004900,1.70,0.15,25.00,0.45,2.25,0.25,0.12,0.00,0.01,2.87,0.15
34023005000,2.74,0.15,17.54,0.01,4.34,0.68,0.11,0.03,0.33,0.88,0.15
34023007402,2.61,0.15,17.85,14.22,3.12,0.19,0.11,0.00,0.34,1.61,0.15
34023007500,2.17,0.15,15.20,6.09,0.91,0.00,0.11,0.19,0.01,0.21,0.15
34023007600,2.48,0.15,14.48,3.92,8.24,0.04,0.06,0.02,0.01,0.82,0.15
34023008001,2.07,0.15,25.00,8.85,0.01,0.05,0.19,0.63,0.17,1.12,0.05
34023009100,1.99,0.15,18.69,9.55,0.00,0.02,0.11,0.06,0.07,1.08,0.15
34025800100,1.87,0.15,7.64,21.95,6.35,0.94,0.33,1.98,0.07,1.67,0.09
34025800200,2.06,0.15,11.22,8.77,0.95,0.08,0.06,0.05,0.09,2.14,0.15
34025800400,2.07,0.15,10.11,6.55,2.71,0.11,0.05,0.37,0.02,0.95,0.15
34025800500,2.14,0.15,4.23,5.44,0.00,0.37,0.00,0.11,0.03,0.58,0.12
34025800601,2.08,0.15,3.29,21.23,0.00,0.58,0.00,0.05,0.01,2.48,0.15
34025801600,2.22,0.15,6.30,4.29,0.03,0.59,0.00,0.23,0.01,0.79,0.15
34025801700,2.17,0.04,7.06,3.18,1.81,0.02,0.08,0.00,0.06,0.00,0.15
34025801800,2.17,0.15,5.91,5.76,2.33,0.17,0.11,0.01,0.03,0.01,0.15
34025801900,1.84,0.15,13.65,11.84,10.00,0.16,0.09,0.00,0.41,2.88,0.08
34025802000,1.74,0.15,11.70,0.00,2.39,0.22,0.05,0.01,0.06,2.93,0.15
34025802500,2.01,0.12,8.35,9.72,2.20,0.92,0.04,0.08,1.48,0.66,0.07
34025812100,2.17,0.13,6.06,3.80,3.57,0.07,0.10,0.24,0.07,0.00,0.15
34039030500,0.00,0.11,25.00,2.83,0.67,0.01,0.17,0.01,0.01,3.17,0.13
34039030600,2.14,0.07,9.07,12.29,2.31,0.62,0.07,0.14,2.52,2.03,0.10
34039035400,2.97,0.15,9.77,1.95,6.69,0.09,0.04,0.06,0.01,0.36,0.15
34039039800,2.11,0.11,11.16,2.24,10.00,0.78,0.07,0.29,0.79,0.00,0.14
36001000100,1.91,0.15,19.67,5.25,5.73,0.06,0.08,0.00,0.28,0.00,0.15
36001001100,0.93,0.07,25.00,19.44,0.00,0.00,0.22,0.16,0.21,0.21,0.00
36001002500,1.01,0.14,11.25,15.61,0.99,0.00,0.05,0.05,0.01,2.80,0.12
36001002600,3.21,0.13,20.18,1.30,6.21,0.13,0.10,0.43,0.01,1.91,0.11
36001013100,2.94,0.11,19.21,4.35,8.58,0.33,0.01,0.23,1.51,1.81,0.11
36001013200,2.48,0.06,17.16,1.49,8.93,0.32,0.03,0.20,2.80,2.41,0.07
36001013400,2.19,0.13,16.39,18.71,4.35,0.82,0.05,1.84,1.84,3.12,0.02
36001013601,3.08,0.10,17.93,11.48,7.29,0.42,0.11,1.68,0.95,0.72,0.12
36001013602,1.98,0.07,14.51,0.00,9.47,0.84,0.06,1.68,2.71,1.61,0.08
36001014301,1.40,0.15,18.01,24.97,0.00,0.00,0.09,0.01,0.10,3.50,0.15
36001014401,2.41,0.09,18.05,6.63,5.65,0.86,0.06,0.60,2.40,1.70,0.11
36005011800,1.85,0.15,7.46,12.05,10.00,0.16,0.02,0.00,0.02,2.35,0.15
36005013800,2.40,0.14,7.68,25.00,0.00,0.20,0.04,0.02,1.89,2.76,0.12
36005016000,1.84,0.15,25.00,14.43,10.00,0.02,0.05,0.00,0.01,0.88,0.15
36005027402,1.95,0.08,15.53,25.00,10.00,0.00,0.10,0.25,0.34,0.08,0.02
36005029301,1.32,0.15,25.00,0.00,0.46,1.00,0.18,0.03,0.01,0.11,0.04
36005030100,2.32,0.07,21.31,19.51,3.15,1.00,0.12,1.10,1.33,0.39,0.07
36005030900,1.42,0.14,25.00,0.00,0.00,0.53,0.15,0.07,0.01,0.00,0.14
36005032300,3.48,0.10,21.77,25.00,0.02,0.00,0.15,0.04,0.30,1.10,0.08
36005051600,1.86,0.15,7.29,19.72,10.00,0.02,0.02,0.00,0.02,1.04,0.15
36021000500,1.75,0.15,15.63,0.62,2.30,0.50,0.09,0.00,0.39,3.36,0.15
36021000600,1.13,0.14,14.79,25.00,0.37,0.00,0.09,0.04,0.03,1.52,0.13
36021001100,2.21,0.10,15.91,17.58,6.61,0.47,0.13,0.90,1.19,0.12,0.09
36021001200,1.71,0.07,17.09,18.98,0.00,0.88,0.14,0.59,2.71,2.35,0.07
36021001300,2.22,0.08,10.11,22.61,3.32,0.05,0.11,1.25,2.10,1.66,0.03
36021001400,3.12,0.06,19.79,19.72,5.31,0.99,0.09,1.59,2.12,0.84,0.05
36021001900,3.12,0.15,11.27,15.37,9.57,0.38,0.10,0.94,2.82,3.28,0.11
36021002000,2.66,0.00,25.00,0.36,0.00,0.03,0.15,0.03,0.09,2.53,0.13
36027060100,0.51,0.06,25.00,0.28,10.00,0.04,0.19,0.97,0.01,3.50,0.13
36027060202,1.73,0.08,11.12,25.00,9.97,0.00,0.06,0.00,0.77,0.09,0.01
36027070101,1.91,0.15,13.01,19.47,1.95,0.08,0.07,0.00,0.65,0.00,0.14
36027070201,1.55,0.04,18.77,1.51,10.00,0.02,0.26,0.00,0.40,0.19,0.15
36027070401,1.49,0.15,18.94,25.00,0.00,0.00,0.09,0.00,0.11,3.50,0.15
36027140101,1.91,0.15,19.66,1.24,4.90,0.16,0.10,0.00,0.32,0.01,0.15
36027140500,2.12,0.06,8.96,3.08,10.00,0.21,0.16,1.46,1.87,2.74,0.02
36027140602,3.34,0.12,21.84,16.69,8.59,0.03,0.09,0.94,2.57,0.86,0.09
36027140801,1.42,0.15,24.59,0.00,0.00,0.40,0.13,0.07,0.02,0.00,0.15
36027150003,3.50,0.12,25.00,1.57,6.16,0.09,0.18,1.26,0.01,3.50,0.04
36027160003,1.91,0.08,17.67,25.00,0.07,0.10,0.12,0.02,0.44,0.00,0.09
36027190301,1.82,0.09,8.68,9.54,8.30,0.25,0.09,1.06,2.99,2.32,0.08
36027210201,3.32,0.15,18.05,8.58,6.93,0.24,0.11,0.00,0.29,2.29,0.15
36027220100,2.35,0.15,17.78,2.04,5.57,0.12,0.11,0.04,0.28,2.98,0.15
36027220700,1.84,0.10,23.02,1.87,0.00,0.03,0.15,0.23,0.24,0.78,0.15
36039080100,2.27,0.15,14.64,25.00,6.62,0.00,0.09,0.01,0.47,0.18,0.15
36039080600,1.64,0.07,8.55,0.00,0.27,0.07,0.11,0.85,1.99,1.80,0.06
36039080700,1.76,0.15,13.03,2.07,2.69,0.18,0.08,0.01,0.54,1.35,0.15
36039080900,1.64,0.15,17.21,3.13,0.00,0.09,0.10,0.06,0.21,3.37,0.15
36039081000,1.92,0.12,10.33,2.33,9.99,0.37,0.06,0.00,0.90,0.00,0.10
36039081102,1.33,0.15,25.00,10.15,10.00,0.01,0.18,0.00,0.09,0.85,0.06
36047000301,2.77,0.09,25.00,0.02,0.00,1.00,0.15,0.04,0.01,0.67,0.04
36047000700,2.11,0.15,14.85,0.48,0.81,0.58,0.09,0.12,0.39,1.56,0.15
36047003400,2.10,0.10,21.51,10.78,10.00,0.00,0.15,0.32,0.28,0.06,0.00
36047003800,1.65,0.14,21.14,0.00,5.87,0.56,0.11,1.04,2.36,1.60,0.05
36047004400,2.94,0.11,10.95,21.79,4.40,0.67,0.06,0.73,1.73,0.49,0.00
36047004600,1.86,0.05,25.00,0.00,1.84,0.94,0.08,0.51,0.78,1.01,0.06
36047004700,2.28,0.14,11.11,11.93,4.97,0.56,0.07,0.00,0.81,1.20,0.14
36047005000,2.12,0.05,19.34,0.00,4.46,0.38,0.08,1.33,0.60,3.17,0.11
36047005201,0.10,0.14,25.00,1.73,10.00,0.01,0.14,0.00,0.02,3.50,0.00
36047005202,3.04,0.08,20.06,12.14,1.31,0.35,0.11,0.22,0.70,0.82,0.13
36047005300,2.76,0.15,13.79,6.52,7.38,0.17,0.12,0.17,0.04,0.28,0.08
36047005400,1.69,0.11,17.09,0.41,0.22,0.25,0.14,0.00,0.45,0.15,0.15
36047005601,1.86,0.10,12.26,12.32,5.47,0.89,0.11,1.35,2.07,1.81,0.06
36047005602,2.59,0.09,25.00,1.38,0.00,0.02,0.16,0.05,0.01,2.37,0.07
36047016200,3.50,0.15,22.31,25.00,0.00,0.00,0.11,0.00,0.04,3.50,0.15
36047016800,1.70,0.11,16.62,16.46,4.45,0.41,0.06,0.31,2.81,2.74,0.06
36047017400,1.83,0.02,20.15,25.00,5.88,0.00,0.06,1.71,0.27,3.14,0.15
36047017600,2.62,0.05,15.58,0.00,7.76,0.03,0.07,1.52,1.82,2.35,0.12
36047028000,2.88,0.14,15.76,17.31,0.85,0.22,0.08,1.38,2.07,1.80,0.07
36047028200,3.05,0.09,13.01,10.44,5.99,0.47,0.08,0.46,2.57,0.66,0.06
36047028600,1.45,0.10,23.81,0.45,0.00,0.07,0.19,0.00,0.28,1.45,0.15
36047029200,1.49,0.14,19.73,1.93,10.00,0.20,0.14,0.00,0.32,3.46,0.01
36047029400,3.26,0.15,22.31,2.43,6.13,0.20,0.11,0.01,0.01,1.81,0.15
36047030400,3.18,0.15,22.07,21.21,6.70,0.00,0.09,0.01,0.01,0.03,0.15
36047031400,2.11,0.09,15.24,12.37,2.28,0.06,0.08,0.00,0.47,0.09,0.15
36047033000,2.18,0.04,22.49,0.89,4.52,0.01,0.21,0.31,0.11,0.00,0.13
36047033600,2.09,0.15,6.77,6.16,1.26,0.36,0.03,0.48,0.02,1.24,0.15
36047061002,3.08,0.15,18.05,9.71,0.00,0.20,0.13,0.06,0.34,0.53,0.15
36047061600,2.31,0.15,10.65,23.93,9.61,0.17,0.09,0.00,0.06,1.64,0.13
36059300100,3.50,0.15,12.45,25.00,0.44,0.34,0.06,0.00,0.39,0.02,0.15
36059300500,1.76,0.08,8.46,0.00,10.00,0.10,0.04,0.00,1.47,0.00,0.15
36059301000,1.75,0.08,7.95,0.08,1.48,0.00,0.03,0.00,1.02,0.12,0.02
36059301101,2.62,0.08,8.82,0.00,1.65,0.02,0.04,0.00,1.03,0.11,0.12
36059301200,2.02,0.10,8.96,0.00,6.18,0.02,0.04,0.00,1.13,0.02,0.15
36059301500,1.76,0.10,7.44,0.00,5.83,0.04,0.03,0.00,2.12,0.02,0.15
36059302000,1.98,0.15,10.76,6.85,9.96,0.04,0.05,0.07,0.35,3.49,0.15
36059517000,2.77,0.15,11.25,25.00,0.00,0.12,0.07,0.06,0.74,0.50,0.05
36059517101,3.49,0.10,19.63,25.00,0.00,0.42,0.12,0.05,0.38,2.53,0.01
36059517400,1.80,0.15,15.05,12.80,3.87,0.01,0.07,0.00,0.45,0.00,0.15
36059517500,3.43,0.05,20.25,0.00,3.75,0.12,0.08,0.00,0.36,0.25,0.03
36059517801,2.03,0.15,10.41,22.66,9.93,0.01,0.04,0.10,0.03,3.06,0.15
36059517901,1.84,0.10,15.70,0.01,10.00,0.00,0.02,0.02,0.01,0.05,0.15
36059517902,1.97,0.13,7.35,25.00,2.17,0.67,0.04,0.09,2.22,3.21,0.12
36059518000,2.60,0.09,24.25,5.60,0.00,0.54,0.05,0.84,3.00,1.56,0.03
36059518201,2.97,0.15,15.04,25.00,1.72,0.17,0.10,0.04,0.50,1.05,0.15
36061000700,2.59,0.15,16.61,0.33,7.10,0.51,0.09,0.00,0.23,1.38,0.15
36061000900,2.39,0.15,17.69,1.87,1.18,0.83,0.11,0.14,0.19,1.36,0.15
36061001300,2.09,0.13,12.20,1.47,0.01,0.97,0.08,0.26,0.61,0.21,0.15
36061003700,2.12,0.14,9.53,25.00,9.97,0.10,0.05,0.01,0.90,0.73,0.15
36061003900,3.35,0.12,10.80,13.41,0.02,0.51,0.08,1.66,0.94,0.05,0.02
