census_tract,Surge_threshold,Rain_threshold,alpha_d,alpha_a,alpha_p,alpha_r,mew_a,mew_p,U_rate,POT_S_max,POT_R_max
09001011000,1.924873243,0.15,5.190461892,25,10,0.117884286,0.001121437,0.001,0.04386544,1.958312633,0.149973174
09001011100,1.882998634,0.15,20.43535741,25,9.904534532,0.204895949,0.064820029,0.005333874,0.169115401,0.366194881,0.149969233
09001011200,1.64910431,0.066089064,6.026579206,21.65833841,10,0.001088966,0.014278803,0.249704125,1.523207707,0.103596024,0.026405596
09001011300,3.232206825,0.15,11.3753243,19.55444384,9.973096686,0.065397803,0.049812109,0.059307987,0.015594703,1.462196417,0.15
09001021900,1.848242083,0.15,17.18272684,13.89103757,9.993293518,0.096001183,0.102438745,0.136374196,0.0504502,2.653320182,0.15
09001022100,1.711017075,0.108707329,20.31343824,25,10,0.037085559,0.151672202,0.275942618,0.308902246,3.336103543,0.04989108
09001022300,1.967485239,0.15,7.031897827,1.392216112,7.776157688,0.088388099,0.021550156,0.020408487,0.082517741,2.845388741,0.15
09001022400,1.897632527,0.15,5.862050969,5.064645531,0.001457596,0.040269582,0.003718326,0.625603783,0.01,0.738618317,0.15
09001030300,1.985439852,0.15,4.879498128,11.60445817,0.001,0.028626945,0.001,0.55065846,0.113269844,0.992422664,0.149953564
09001044300,1.982509542,0.149918843,5.949771915,8.720226946,4.402332269,0.105740202,0.013023516,0.068620289,0.216415698,2.34160227,0.15
09001044400,1.886834522,0.15,8.234294268,8.330031874,0.001,0.460060644,0.068962366,0.062736999,0.031877359,1.613050344,0.15
09001044600,1.966974906,0.15,6.245458678,13.10771878,0.034795038,0.050110349,0.002894048,0.074266268,0.01,0.94619467,0.15
09001050400,1.837172785,0.15,4.753920005,17.69714355,2.754590144,0.090876217,0.001023497,0.134563108,0.01,1.23775912,0.149914945
09001050500,1.888570556,0.15,7.045757158,21.03625257,9.999887024,0.077764989,0.017336276,0.00255719,0.01,1.754280995,0.149997856
09001050600,1.867796427,0.15,7.822747511,25,10,0.032964111,0.030965572,0.05760454,0.067606574,2.575071715,0.15
09001060600,1.656853933,0.15,11.28024875,25,10,0.020300202,0.058854186,0.001,0.179527899,2.198773757,0.15
09001061500,2.069030298,0.107634712,12.52570287,25,9.997832251,0.617628003,0.12844341,0.090980577,0.735630203,1.364544883,0.142025708
09001061600,1.871912217,0.149089196,4.368888725,25,5.319434156,0.014167216,0.001,0.524916714,0.011917235,0.190424735,0.074534628
09001070100,1.631136568,0.14636332,11.52479883,25,10,0.028051036,0.083161413,0.001,0.032146493,1.228623926,0.110821395
09001070400,2.059008402,0.14992195,20.21573405,2.361914974,0.001,0.475770702,0.167939224,0.080710659,0.068086229,0.726548189,0.13743303
09001070600,1.954399875,0.149711306,18.61047315,0.734772282,10,0.634369525,0.124223425,0.444422833,0.280692677,0.07441497,0.053437975
