"STATE" "COUNTY" "FIPS" "RPL_THEME1" "RPL_THEME2" "RPL_THEME3" "RPL_THEME4" "RPL_THEMES" "Surge_threshold" "Rain_threshold" "alpha_d" "alpha_a" "alpha_p" "alpha_r" "mew_a" "mew_p" "U_rate" "POT_S_max" "POT_R_max"
"1" "Connecticut" "Fairfield" 9001011000 0.0025 0.3378 0.378 0.1466 0.0514 1.92 0.15 5.19 25 10 0.12 0 0 0.04 1.96 0.15
"2" "Connecticut" "Fairfield" 9001011100 0.1063 0.2231 0.4095 0.1203 0.0942 1.88 0.15 20.44 25 9.9 0.2 0.06 0.01 0.17 0.37 0.15
"3" "Connecticut" "Fairfield" 9001011200 0.0385 0.1489 0.5078 0.3013 0.1085 1.65 0.07 6.03 21.66 10 0 0.01 0.25 1.52 0.1 0.03
"4" "Connecticut" "Fairfield" 9001011300 0.6545 0.4518 0.7447 0.2837 0.5335 3.23 0.15 11.38 19.55 9.97 0.07 0.05 0.06 0.02 1.46 0.15
"5" "Connecticut" "Fairfield" 9001021900 0.6047 0.1518 0.6522 0.2772 0.3952 1.85 0.15 17.18 13.89 9.99 0.1 0.1 0.14 0.05 2.65 0.15
"6" "Connecticut" "Fairfield" 9001022300 0.863 0.5192 0.8651 0.6788 0.8047 1.97 0.15 7.03 1.39 7.78 0.09 0.02 0.02 0.08 2.85 0.15
"7" "Connecticut" "Fairfield" 9001022400 0.1657 0.21 0.2759 0.1012 0.0938 1.9 0.15 5.86 5.06 0 0.04 0 0.63 0.01 0.74 0.15
"8" "Connecticut" "Fairfield" 9001030300 0.0736 0.0927 0.1814 0.0538 0.0242 1.99 0.15 4.88 11.6 0 0.03 0 0.55 0.11 0.99 0.15
"9" "Connecticut" "Fairfield" 9001044300 0.6322 0.2266 0.5312 0.2039 0.3812 1.98 0.15 5.95 8.72 4.4 0.11 0.01 0.07 0.22 2.34 0.15
"10" "Connecticut" "Fairfield" 9001044400 0.8275 0.3777 0.7639 0.4036 0.6573 1.89 0.15 8.23 8.33 0 0.46 0.07 0.06 0.03 1.61 0.15
"11" "Connecticut" "Fairfield" 9001044600 0.0349 0.1976 0.1564 0.1782 0.0583 1.97 0.15 6.25 13.11 0.03 0.05 0 0.07 0.01 0.95 0.15
"12" "Connecticut" "Fairfield" 9001050400 0.0508 0.2492 0.2724 0.3032 0.1172 1.84 0.15 4.75 17.7 2.75 0.09 0 0.13 0.01 1.24 0.15
"13" "Connecticut" "Fairfield" 9001050500 0.194 0.5149 0.358 0.1702 0.2051 1.89 0.15 7.05 21.04 10 0.08 0.02 0 0.01 1.75 0.15
"14" "Connecticut" "Fairfield" 9001050600 0.0199 0.2329 0.4411 0.14 0.0622 1.87 0.15 7.82 25 10 0.03 0.03 0.06 0.07 2.58 0.15
"15" "Connecticut" "Fairfield" 9001060600 0.0226 0.2286 0.2314 0.0379 0.0216 1.66 0.15 11.28 25 10 0.02 0.06 0 0.18 2.2 0.15
