"census_tract","Surge_threshold","Rain_threshold","alpha_d","alpha_a","alpha_p","alpha_r","mew_a","mew_p","U_rate","POT_S_max","POT_R_max"
"x_init",9001022400,1.97201909309077,0.15,6.47184658195253,13.1703529255764,9.99246938965311,0.0396795074158187,0.0122302359252509,0.001,0.01,0.509617575046827,0.149978572399973
"x_init1",9001022400,1.95140838921291,0.15,6.28267816590272,5.73425559142684,3.21585107698026,0.0679338247508121,0.00420894950982625,0.588624682987241,0.0104619148803503,1.15170715885021,0.15
"x_init2",9001022400,1.97491288877316,0.149998644768305,6.92624714579682,13.597315538878,10,0.164633225817256,0.0123427752812159,0.001,0.01,2.03638263861363,0.15
"x_init3",9001022400,1.96631173779066,0.15,7.2505573772506,9.02294913673768,10,0.130281076632426,0.00788122148495096,0.485046092027945,0.01,2.02410935142617,0.15
"x_init4",9001022400,1.97463274236079,0.15,7.39797174064709,12.8337433361696,10,0.171456583972482,0.0115049075549212,0.00135775458700855,0.01,2.09205083405415,0.149972087990007
"x_init5",9001022400,1.96361363179914,0.15,6.98371274017619,6.21099003006272,10,0.161813014584561,0.00452536445231998,0.501580636639508,0.01,2.55168868896222,0.15
"x_init6",9001022400,1.98182932432149,0.15,7.42728423660233,17.0840748860933,10,0.204629548304744,0.0178508004382673,0.001,0.01,2.3545719609845,0.15
"x_init7",9001022400,1.96667405336012,0.15,6.92938309387925,9.11072883741731,10,0.0346384985576177,0.0082660190632714,0.467057553992431,0.0129841354116237,0.534526281951459,0.15
"x_init8",9001022400,2.10692298821074,0.137589988252458,17.9886356586766,2.60053811645475,10,0.793121130777764,0.139014772112945,0.001,0.411187976172929,0.0624241561307438,0.15
"x_init9",9001022400,1.95948451974117,0.15,6.64376090325285,5.76267435284806,10,0.0626367021997169,0.00416314611418844,0.566346533574306,0.01,1.01183320592329,0.15
"x_init10",9001022400,1.89117622629999,0.15,5.34055320727919,5.08066712659291,0.00141213681393922,0.0157451946402309,0.00362208538842482,0.69582013861439,0.0216069330811058,0.296270574451372,0.149886445744385
"x_init11",9001022400,1.97326389569817,0.15,6.96820928573708,12.7815647539655,9.99975233380402,0.138553380166311,0.0115791839522546,0.001,0.01,1.73405834842543,0.15
"x_init12",9001022400,1.97440002057356,0.15,6.94620215121628,14.0474306778516,10,0.168898498087961,0.0133421284797051,0.001,0.01,2.08045459975097,0.15
"x_init13",9001022400,1.96135024146613,0.15,6.28742625632363,3.55558726485956,10,0.104165137556815,0.00148942919399024,0.558033097314367,0.0128199101301475,1.67901000113821,0.149992904953372
"x_init14",9001022400,1.9669070489288,0.15,7.47975096797043,5.84209691577387,10,0.194547461688741,0.00395675155973132,0.489661826530804,0.01,2.96949374744566,0.15
"x_init15",9001022400,1.97141406508194,0.15,6.51835911644339,13.0715642812378,10,0.21678105142507,0.0121043713622646,0.001,0.0158035109543847,2.69384247619035,0.15
"x_init16",9001022400,1.96300414637391,0.15,6.52720367073629,7.4596570760917,9.99180069238754,0.0837199382473474,0.00617929186451579,0.528754223716952,0.013109644163431,1.32808826038699,0.15
"x_init17",9001022400,1.96762184854665,0.15,7.59300134919223,6.75866672837262,9.98270935022897,0.17739061248924,0.00526750735665565,0.489406799055736,0.01,2.69634496047674,0.15
"x_init18",9001022400,1.89595870960588,0.15,6.18582517552847,6.00800453932077,0.001,0.093060440853622,0.00488967516196391,0.556383010503028,0.01,1.68282773951026,0.15
"x_init19",9001022400,1.95786104890441,0.15,5.12141085340639,3.29460741776621,10,0.114140488118779,0.001,0.564183491314954,0.0699917260050895,1.94713246784402,0.15
"x_init20",9001022400,1.79256370022285,0.149827465884378,10.1054185055434,25,10,0.028416300307597,0.0821443768062289,2,0.0385433162496342,0.577822297623192,0.145593805826159
"x_init21",9001022400,1.96400229574224,0.15,6.99428264365987,5.09409893121602,10,0.103683269678071,0.00318853512510314,0.544207841459,0.01,1.63250002269026,0.15
"x_init22",9001022400,1.96123347606916,0.15,5.83689686821085,5.34185653148547,10,0.155329014267625,0.00350284556097568,0.514214210229883,0.0192885064863432,2.53250309716256,0.149974891692921
"x_init23",9001022400,1.95590034630182,0.149982946388809,5.31060529623375,3.68463937733254,9.9453858270183,0.0524311689493417,0.00179928812980878,0.605803835563868,0.0402758643646254,0.881753175587115,0.15
"x_init24",9001022400,1.98457649403008,0.15,7.8971831768418,19.5201624156857,10,0.104831736081532,0.0219546551229004,0.00731458065926241,0.01,1.21328257855108,0.15
"x_init25",9001022400,1.79858243913727,0.15,12.1057397463634,25,10,0.0327084805098087,0.0995018423185037,2,0.0293429658652055,0.616980368956054,0.149656275087783
"x_init26",9001022400,1.9676663470045,0.15,6.61685820800935,11.1817742621047,9.97121008187167,0.0581926817351552,0.00973968473887693,0.0116191283444377,0.0102868160825109,0.801536243283769,0.15
"x_init27",9001022400,1.98566990305428,0.128620538862028,7.02411793788477,11.5657627713296,9.45846523948803,0.160923857296088,0.0311983321652404,1.02003100737184,2.47125966913925,2.02574368606373,0.0480940524616501
"x_init28",9001022400,1.98200668082522,0.15,7.14344504222786,15.7282321101252,10,0.230507103748555,0.0147785843600543,0.001,0.0111099710682045,2.70773135295105,0.15
"x_init29",9001022400,1.98769636693496,0.15,7.76025485875263,19.6936313704666,10,0.144009779356455,0.0220505719455935,0.001,0.01,1.56800816631673,0.15
"x_init30",9001022400,1.96745902157923,0.15,6.73913346306176,11.4175738914867,9.88613051106767,0.192674586796393,0.00948581991267814,0.00706684662442972,0.01,2.56372950784276,0.15
"x_init31",9001022400,1.98199159727563,0.15,7.4477750086897,16.7983521178378,10,0.212870089568217,0.0171569171912095,0.001,0.01,2.45100360767676,0.15
"x_init32",9001022400,1.96697067783327,0.15,7.32500964745642,6.40049654438658,10,0.154615710530802,0.00460651040151784,0.501784881976436,0.0114284121981013,2.34041517221973,0.15
"x_init33",9001022400,1.98833314012034,0.15,7.70016034104736,19.9251615192348,10,0.30706325749474,0.0224995424420391,0.001,0.01,3.32145678785272,0.149919079022712
"x_init34",9001022400,1.95742990640611,0.15,6.02680305247128,3.6219683625986,9.98605323745013,0.128911313796864,0.00144795203565726,0.541132892161048,0.0113895294518204,2.14315317350025,0.15
"x_init35",9001022400,1.95758065558872,0.15,6.48457858724966,7.11282934152679,7.66669954777686,0.0712940542441327,0.00597513523958714,0.558999034766304,0.0105385362042939,1.17385935967843,0.149994091367279
"x_init36",9001022400,1.98088802357765,0.15,7.55521721212076,16.6397590265865,10,0.180524108547306,0.0179314691818176,0.00120637491516025,0.01,2.09353344940394,0.15
"x_init37",9001022400,1.89393911956907,0.15,5.72562696114982,4.9248661576518,0.001,0.0389810562612704,0.00350526425478629,0.62813778599864,0.01,0.722295101463596,0.15
"x_init38",9001022400,1.96854743157499,0.15,7.43250082343825,8.64916793829448,10,0.123999289176459,0.00772372248483292,0.490153667517966,0.0118933899181007,1.86405147634137,0.15
"x_init39",9001022400,1.96650244315817,0.15,7.24498735786754,8.26553765597364,10,0.0825002486253571,0.00711328759862198,0.5032868611028,0.01,1.28056935503467,0.15
