"census_tract","Surge_threshold","Rain_threshold","alpha_d","alpha_a","alpha_p","alpha_r","mew_a","mew_p","U_rate","POT_S_max","POT_R_max"
"x_init",34003002100,1.763272354289,0.125960690117911,25,0.0358766994775188,7.39721452003304,0.137712434600877,0.158874004061507,1.81988264004416,0.01,1.4279491721065,0.00644732601122075
"x_init1",34003016000,1.63877041201602,0.105279329729217,12.8944183984716,0.001,4.39904335493964,0.0541398426756424,0.182135867025124,1.1121434917215,1.74084344957132,2.61456682110555,0.0706567700686545
"x_init2",34003055100,2.20800697512492,0.098886467245449,19.6089110103656,7.33775162041488,8.19628974159137,0.669441976414378,0.064767647096013,1.02265914402505,1.88216631019329,1.27856925989097,0.001
"x_init3",34017010800,1.71349975959341,0.112980549720311,10.7283571579323,8.13172587544615,0.001,0.391017849066387,0.0618815524579453,0.0576318378164633,0.836875574930635,0.847727891368436,0.127208875924784
"x_init4",34017011400,2.55825418869214,0.0795727639179874,13.9313956057928,2.470168214245,2.20071115043431,0.14317292392326,0.0806214614618793,0.001,0.552326489728698,0.617484376396253,0.145839108026647
"x_init5",34017011500,2.15426558640554,0.109423845250609,15.7663362272292,4.30340601356767,2.86907163358475,0.0977686132817174,0.0948360195047509,0.001,0.466156150005909,0.0406800229670621,0.15
"x_init6",34023003401,2.27457940958977,0.15,12.3187888673295,0.145560959343882,3.07951672755299,0.0798483831899069,0.0476405254967875,0.11453958749875,0.0102632349945389,0.911639296486219,0.15
"x_init7",34023003600,1.91355996372422,0.100926396919457,9.35694713857872,0.108423815185405,8.04644640515278,0.170417740740195,0.0430107074406716,0.001,0.796098572475279,0.0821779421507988,0.15
"x_init8",34023005000,2.74365026445236,0.15,17.5388393152083,0.0126456225252767,4.3371249511789,0.68356851814777,0.106138707609074,0.0257043358593304,0.334991721730148,0.879976836218187,0.15
"x_init9",34023007402,2.61054667691446,0.15,17.8465281739827,14.2179053065792,3.11673024941861,0.190900362821781,0.112057030687199,0.00197103856536587,0.337814439141507,1.61124216789092,0.148894257636733
"x_init10",34023007500,2.16680458377972,0.15,15.1975817191934,6.09011571586176,0.90972389223034,0.0017123402985309,0.105439706930502,0.191345647211811,0.01,0.212795237427693,0.15
"x_init11",34023007600,2.4787164909698,0.15,14.4779841216393,3.92286678580611,8.23880691069891,0.0410342200701228,0.058116419362699,0.022422304822637,0.01,0.823213049818945,0.149964533923722
"x_init12",34023008001,2.06964949483713,0.148826676109462,25,8.84774280186966,0.00908457244031679,0.0527976975029766,0.186643580007821,0.634198084790355,0.174505267486943,1.11867411711562,0.0479976316323813
